timestamp,alpha,beta,theta
22:02.1,0.760014713,0.507019639,0.785344899
22:02.1,0.760014713,0.507019639,0.785344899
22:02.2,0.762724578,0.505650103,0.80142504
22:02.1,0.760014713,0.507019639,0.785344899
22:02.2,0.762724578,0.505650103,0.80142504
22:02.3,0.763539374,0.500420272,0.816994131
22:02.1,0.760014713,0.507019639,0.785344899
22:02.2,0.762724578,0.505650103,0.80142504
22:02.3,0.763539374,0.500420272,0.816994131
22:02.4,0.765060306,0.492247254,0.822969615
22:02.1,0.760014713,0.507019639,0.785344899
22:02.2,0.762724578,0.505650103,0.80142504
22:02.3,0.763539374,0.500420272,0.816994131
22:02.4,0.765060306,0.492247254,0.822969615
22:02.6,0.766645551,0.485271245,0.822309792
22:02.1,0.760014713,0.507019639,0.785344899
22:02.2,0.762724578,0.505650103,0.80142504
22:02.3,0.763539374,0.500420272,0.816994131
22:02.4,0.765060306,0.492247254,0.822969615
22:02.6,0.766645551,0.485271245,0.822309792
22:02.6,0.748091459,0.485327929,0.82580328
22:02.1,0.760014713,0.507019639,0.785344899
22:02.2,0.762724578,0.505650103,0.80142504
22:02.3,0.763539374,0.500420272,0.816994131
22:02.4,0.765060306,0.492247254,0.822969615
22:02.6,0.766645551,0.485271245,0.822309792
22:02.6,0.748091459,0.485327929,0.82580328
22:02.7,0.74929899,0.48825711,0.821279883
22:02.1,0.760014713,0.507019639,0.785344899
22:02.2,0.762724578,0.505650103,0.80142504
22:02.3,0.763539374,0.500420272,0.816994131
22:02.4,0.765060306,0.492247254,0.822969615
22:02.6,0.766645551,0.485271245,0.822309792
22:02.6,0.748091459,0.485327929,0.82580328
22:02.7,0.74929899,0.48825711,0.821279883
22:02.8,0.74929899,0.491132081,0.8219015
22:02.1,0.760014713,0.507019639,0.785344899
22:02.2,0.762724578,0.505650103,0.80142504
22:02.3,0.763539374,0.500420272,0.816994131
22:02.4,0.765060306,0.492247254,0.822969615
22:02.6,0.766645551,0.485271245,0.822309792
